구분번호,발생년월,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령대,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령대,피해운전자 상해정도
2023082600100474,2023년 8월,토요일,부산광역시 사상구 주례동,중상사고,0,1,0,0,차대사람 - 보도통행중,기타,건조,맑음,단일로 - 기타,이륜,남,41-50세,기타불명,보행자,여,51-60세,중상
2023082600100540,2023년 8월,토요일,부산광역시 부산진구 초읍동,경상사고,0,0,1,0,차대사람 - 기타,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,여,65세 이상,상해없음,보행자,여,65세 이상,경상
2023082600100589,2023년 8월,토요일,부산광역시 수영구 민락동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,자전거,여,21-30세,상해없음,승용,남,51-60세,상해없음
2023082600100590,2023년 8월,토요일,부산광역시 부산진구 범전동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,기타 - 기타,승용,남,65세 이상,상해없음,이륜,남,41-50세,경상
2023082700100025,2023년 8월,일요일,부산광역시 수영구 광안동,중상사고,0,1,0,0,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승합,남,65세 이상,상해없음,승용,남,65세 이상,상해없음
2023082700100026,2023년 8월,일요일,부산광역시 동래구 명장동,경상사고,0,0,1,0,차대차 - 충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,21-30세,상해없음,승용,남,41-50세,경상
2023082700100027,2023년 8월,일요일,부산광역시 부산진구 전포동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,65세 이상,상해없음,승용,남,65세 이상,상해없음
2023082700100113,2023년 8월,일요일,부산광역시 수영구 남천동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,31-40세,상해없음,원동기,남,41-50세,경상
2023082700100345,2023년 8월,일요일,부산광역시 해운대구 반여동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,여,61-64세,상해없음,보행자,여,51-60세,경상
2023082700100347,2023년 8월,일요일,부산광역시 강서구 명지동,중상사고,0,1,1,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,이륜,남,41-50세,중상,승용,여,31-40세,경상
2023082700100373,2023년 8월,일요일,부산광역시 중구 남포동4가,경상사고,0,0,2,0,차대차 - 기타,기타,건조,맑음,단일로 - 기타,이륜,남,61-64세,상해없음,승용,남,51-60세,경상
2023082700100374,2023년 8월,일요일,부산광역시 서구 충무동1가,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,기타,단일로 - 기타,승용,여,51-60세,상해없음,보행자,남,65세 이상,경상
